origin_id,destination_id,fare_id
NGR,MGB_G,F_60
HSG,NAG,F_30
HSG,UPL,F_18
HSG,STD,F_18
HSG,NGR,F_12
HSG,HSG,F_12
HSG,TAR,F_12
HSG,MET,F_18
HSG,SEC_E,F_30
HSG,PRG,F_40
HSG,PAR,F_40
HSG,ROP,F_40
HSG,PRN,F_50
HSG,BEG,F_50
HSG,AME_B,F_55
HSG,MUN,F_55
HSG,YUG,F_55
HSG,JR5,F_60
HSG,JCP,F_60
HSG,PED,F_60
HSG,MAD,F_66
HSG,DGC,F_66
HSG,HTC,F_70
HSG,RDG,F_70
HSG,MYP,F_70
HSG,JNT,F_70
HSG,KPH,F_66
HSG,KUK,F_66
HSG,BLR,F_60
HSG,MSP,F_60
HSG,BTN,F_60
HSG,ERA,F_60
HSG,ESI,F_55
HSG,SRN,F_55
HSG,AME_R,F_55
HSG,PUN,F_55
HSG,IRM,F_55
HSG,KHA,F_60
HSG,LKP,F_60
HSG,ASM,F_60
HSG,NAM,F_60
HSG,GAB,F_60
HSG,OMC,F_60
HSG,MGB_R,F_55
HSG,MKL,F_60
HSG,NEM,F_60
HSG,MSB,F_60
HSG,DSN,F_66
HSG,CHP,F_66
HSG,VOM,F_70
HSG,LBN,F_70
HSG,JBS,F_40
HSG,SCR,F_40
HSG,GNH,F_40
HSG,MSH,F_50
HSG,RTC,F_50
HSG,CDP,F_50
HSG,NAR,F_55
HSG,SUB,F_60
HSG,MGB_G,F_60
TAR,NAG,F_30
TAR,UPL,F_30
TAR,STD,F_18
TAR,NGR,F_18
TAR,HSG,F_12
TAR,TAR,F_12
TAR,MET,F_12
TAR,SEC_E,F_18
TAR,PRG,F_30
TAR,PAR,F_30
TAR,ROP,F_40
TAR,PRN,F_40
TAR,BEG,F_50
TAR,AME_B,F_50
TAR,MUN,F_50
TAR,YUG,F_55
TAR,JR5,F_55
TAR,JCP,F_60
TAR,PED,F_60
TAR,MAD,F_60
TAR,DGC,F_66
TAR,HTC,F_66
TAR,RDG,F_70
TAR,MYP,F_70
TAR,JNT,F_66
TAR,KPH,F_66
TAR,KUK,F_60
TAR,BLR,F_60
TAR,MSP,F_60
TAR,BTN,F_55
TAR,ERA,F_55
TAR,ESI,F_55
TAR,SRN,F_50
TAR,AME_R,F_50
TAR,PUN,F_55
TAR,IRM,F_55
TAR,KHA,F_55
TAR,LKP,F_60
TAR,ASM,F_60
TAR,NAM,F_60
TAR,GAB,F_55
TAR,OMC,F_55
TAR,MGB_R,F_55
TAR,MKL,F_55
TAR,NEM,F_60
TAR,MSB,F_60
TAR,DSN,F_60
TAR,CHP,F_66
TAR,VOM,F_66
TAR,LBN,F_70
TAR,JBS,F_30
TAR,SCR,F_40
TAR,GNH,F_40
TAR,MSH,F_40
TAR,RTC,F_50
TAR,CDP,F_50
TAR,NAR,F_50
TAR,SUB,F_55
TAR,MGB_G,F_55
MET,NAG,F_40
MET,UPL,F_30
MET,STD,F_30
MET,NGR,F_18
MET,HSG,F_18
MET,TAR,F_12
MET,MET,F_12
MET,SEC_E,F_12
MET,PRG,F_18
MET,PAR,F_30
MET,ROP,F_30
MET,PRN,F_40
MET,BEG,F_40
MET,AME_B,F_50
MET,MUN,F_50
MET,YUG,F_50
MET,JR5,F_55
MET,JCP,F_55
MET,PED,F_55
MET,MAD,F_60
MET,DGC,F_60
MET,HTC,F_66
MET,RDG,F_66
MET,MYP,F_70
MET,JNT,F_66
MET,KPH,F_60
MET,KUK,F_60
MET,BLR,F_60
MET,MSP,F_55
MET,BTN,F_55
MET,ERA,F_55
MET,ESI,F_50
MET,SRN,F_50
MET,AME_R,F_50
MET,PUN,F_50
MET,IRM,F_50
MET,KHA,F_55
MET,LKP,F_55
MET,ASM,F_55
MET,NAM,F_55
MET,GAB,F_55
MET,OMC,F_55
MET,MGB_R,F_50
MET,MKL,F_55
MET,NEM,F_55
MET,MSB,F_55
MET,DSN,F_60
MET,CHP,F_60
MET,VOM,F_66
MET,LBN,F_66
MET,JBS,F_18
MET,SCR,F_30
MET,GNH,F_30
MET,MSH,F_40
MET,RTC,F_40
MET,CDP,F_40
MET,NAR,F_50
MET,SUB,F_50
MET,MGB_G,F_50
SEC_E,NAG,F_40
SEC_E,UPL,F_40
SEC_E,STD,F_40
SEC_E,NGR,F_30
SEC_E,HSG,F_30
SEC_E,TAR,F_18
SEC_E,MET,F_12
SEC_E,SEC_E,F_12
SEC_E,PRG,F_12
SEC_E,PAR,F_18
SEC_E,ROP,F_18
SEC_E,PRN,F_30
SEC_E,BEG,F_40
SEC_E,AME_B,F_40
SEC_E,MUN,F_40
SEC_E,YUG,F_50
SEC_E,JR5,F_50
SEC_E,JCP,F_55
SEC_E,PED,F_55
SEC_E,MAD,F_55
SEC_E,DGC,F_60
SEC_E,HTC,F_60
SEC_E,RDG,F_60
SEC_E,MYP,F_66
SEC_E,JNT,F_60
SEC_E,KPH,F_60
SEC_E,KUK,F_55
SEC_E,BLR,F_55
SEC_E,MSP,F_55
SEC_E,BTN,F_50
SEC_E,ERA,F_50
SEC_E,ESI,F_50
SEC_E,SRN,F_40
SEC_E,AME_R,F_40
SEC_E,PUN,F_50
SEC_E,IRM,F_50
SEC_E,KHA,F_50
SEC_E,LKP,F_55
SEC_E,ASM,F_55
SEC_E,NAM,F_55
SEC_E,GAB,F_50
SEC_E,OMC,F_50
SEC_E,MGB_R,F_50
SEC_E,MKL,F_50
SEC_E,NEM,F_55
SEC_E,MSB,F_55
SEC_E,DSN,F_55
SEC_E,CHP,F_60
SEC_E,VOM,F_60
SEC_E,LBN,F_66
SEC_E,JBS,F_12
SEC_E,SCR,F_18
SEC_E,GNH,F_30
SEC_E,MSH,F_30
SEC_E,RTC,F_40
SEC_E,CDP,F_40
SEC_E,NAR,F_40
SEC_E,SUB,F_50
SEC_E,MGB_G,F_50
PRG,NAG,F_50
PRG,UPL,F_50
PRG,STD,F_40
PRG,NGR,F_40
PRG,HSG,F_40
PRG,TAR,F_30
PRG,MET,F_18
PRG,SEC_E,F_12
PRG,PRG,F_12
PRG,PAR,F_12
PRG,ROP,F_18
PRG,PRN,F_18
PRG,BEG,F_30
PRG,AME_B,F_40
PRG,MUN,F_40
PRG,YUG,F_40
PRG,JR5,F_50
PRG,JCP,F_50
PRG,PED,F_50
PRG,MAD,F_55
PRG,DGC,F_55
PRG,HTC,F_55
PRG,RDG,F_60
PRG,MYP,F_60
PRG,JNT,F_60
PRG,KPH,F_55
PRG,KUK,F_55
PRG,BLR,F_50
PRG,MSP,F_50
PRG,BTN,F_50
PRG,ERA,F_50
PRG,ESI,F_40
PRG,SRN,F_40
PRG,AME_R,F_40
PRG,PUN,F_40
PRG,IRM,F_40
PRG,KHA,F_50
PRG,LKP,F_50
PRG,ASM,F_50
PRG,NAM,F_50
PRG,GAB,F_50
PRG,OMC,F_50
PRG,MGB_R,F_40
PRG,MKL,F_50
PRG,NEM,F_50
PRG,MSB,F_50
PRG,DSN,F_55
PRG,CHP,F_55
PRG,VOM,F_60
PRG,LBN,F_60
PRG,JBS,F_12
PRG,SCR,F_12
PRG,GNH,F_18
PRG,MSH,F_18
PRG,RTC,F_30
PRG,CDP,F_30
PRG,NAR,F_40
PRG,SUB,F_40
PRG,MGB_G,F_40
PAR,NAG,F_50
PAR,UPL,F_50
PAR,STD,F_50
PAR,NGR,F_40
PAR,HSG,F_40
PAR,TAR,F_30
PAR,MET,F_30
PAR,SEC_E,F_18
PAR,PRG,F_12
PAR,PAR,F_12
PAR,ROP,F_12
PAR,PRN,F_18
PAR,BEG,F_18
PAR,AME_B,F_30
PAR,MUN,F_30
PAR,YUG,F_40
PAR,JR5,F_40
PAR,JCP,F_50
PAR,PED,F_50
PAR,MAD,F_50
PAR,DGC,F_55
PAR,HTC,F_55
PAR,RDG,F_60
PAR,MYP,F_60
PAR,JNT,F_55
PAR,KPH,F_55
PAR,KUK,F_50
PAR,BLR,F_50
PAR,MSP,F_50
PAR,BTN,F_40
PAR,ERA,F_40
PAR,ESI,F_40
PAR,SRN,F_30
PAR,AME_R,F_30
PAR,PUN,F_40
PAR,IRM,F_40
PAR,KHA,F_40
PAR,LKP,F_50
PAR,ASM,F_50
PAR,NAM,F_50
PAR,GAB,F_50
PAR,OMC,F_50
PAR,MGB_R,F_50
PAR,MKL,F_50
PAR,NEM,F_50
PAR,MSB,F_55
PAR,DSN,F_55
PAR,CHP,F_60
PAR,VOM,F_60
PAR,LBN,F_60
PAR,JBS,F_12
PAR,SCR,F_18
PAR,GNH,F_18
PAR,MSH,F_30
PAR,RTC,F_30
PAR,CDP,F_40
PAR,NAR,F_40
PAR,SUB,F_50
PAR,MGB_G,F_50
ROP,NAG,F_55
ROP,UPL,F_50
ROP,STD,F_50
ROP,NGR,F_50
ROP,HSG,F_40
ROP,TAR,F_40
ROP,MET,F_30
ROP,SEC_E,F_18
ROP,PRG,F_18
ROP,PAR,F_12
ROP,ROP,F_12
ROP,PRN,F_12
ROP,BEG,F_18
ROP,AME_B,F_30
ROP,MUN,F_30
ROP,YUG,F_40
ROP,JR5,F_40
ROP,JCP,F_40
ROP,PED,F_40
ROP,MAD,F_50
ROP,DGC,F_50
ROP,HTC,F_55
ROP,RDG,F_55
ROP,MYP,F_60
ROP,JNT,F_55
ROP,KPH,F_55
ROP,KUK,F_50
ROP,BLR,F_50
ROP,MSP,F_40
ROP,BTN,F_40
ROP,ERA,F_40
ROP,ESI,F_30
ROP,SRN,F_30
ROP,AME_R,F_30
ROP,PUN,F_30
ROP,IRM,F_40
ROP,KHA,F_40
ROP,LKP,F_40
ROP,ASM,F_50
ROP,NAM,F_50
ROP,GAB,F_50
ROP,OMC,F_50
ROP,MGB_R,F_50
ROP,MKL,F_50
ROP,NEM,F_55
ROP,MSB,F_55
ROP,DSN,F_60
ROP,CHP,F_60
ROP,VOM,F_60
ROP,LBN,F_66
ROP,JBS,F_18
ROP,SCR,F_18
ROP,GNH,F_30
ROP,MSH,F_30
ROP,RTC,F_40
ROP,CDP,F_40
ROP,NAR,F_40
ROP,SUB,F_50
ROP,MGB_G,F_50
PRN,NAG,F_55
PRN,UPL,F_55
PRN,STD,F_50
PRN,NGR,F_50
PRN,HSG,F_50
PRN,TAR,F_40
PRN,MET,F_40
PRN,SEC_E,F_30
PRN,PRG,F_18
PRN,PAR,F_18
PRN,ROP,F_12
PRN,PRN,F_12
PRN,BEG,F_12
PRN,AME_B,F_18
PRN,MUN,F_18
PRN,YUG,F_30
PRN,JR5,F_30
PRN,JCP,F_40
PRN,PED,F_40
PRN,MAD,F_50
PRN,DGC,F_50
PRN,HTC,F_50
PRN,RDG,F_55
PRN,MYP,F_55
PRN,JNT,F_55
PRN,KPH,F_50
PRN,KUK,F_50
PRN,BLR,F_40
PRN,MSP,F_40
PRN,BTN,F_40
PRN,ERA,F_30
PRN,ESI,F_30
PRN,SRN,F_18
PRN,AME_R,F_18
PRN,PUN,F_30
PRN,IRM,F_30
PRN,KHA,F_40
PRN,LKP,F_40
PRN,ASM,F_40
PRN,NAM,F_40
PRN,GAB,F_50
PRN,OMC,F_50
PRN,MGB_R,F_50
PRN,MKL,F_55
PRN,NEM,F_55
PRN,MSB,F_55
PRN,DSN,F_60
PRN,CHP,F_60
PRN,VOM,F_66
PRN,LBN,F_66
PRN,JBS,F_18
PRN,SCR,F_30
PRN,GNH,F_30
PRN,MSH,F_40
PRN,RTC,F_40
PRN,CDP,F_40
PRN,NAR,F_50
PRN,SUB,F_50
PRN,MGB_G,F_50
BEG,NAG,F_60
BEG,UPL,F_55
BEG,STD,F_55
BEG,NGR,F_50
BEG,HSG,F_50
BEG,TAR,F_50
BEG,MET,F_40
BEG,SEC_E,F_40
